objectid,wd18cd,wd18nm,wd18nmw,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
7338,E05011443,Dene & South Gosforth, ,425414,567288,-1.60426998,54.99950027,2715010.05563029,11016.4907149228
7339,E05011444,Denton & Westerhope, ,419575,566604,-1.69559002,54.99359894,2500435.87050186,6588.39732828557
7340,E05011445,Elswick, ,422726,563797,-1.64655995,54.96829987,3344899.54777545,9715.05454964808
7341,E05011446,Fawdon & West Gosforth, ,422880,568762,-1.64375997,55.01290131,2605351.59747396,8600.78335253721
7342,E05011447,Gosforth, ,424186,567717,-1.62343001,55.0033989,2283457.9186491,7700.40740196745
7343,E05011448,Heaton, ,427164,566028,-1.57702994,54.98809814,1690426.84169545,6749.6016789779
7344,E05011449,Kenton, ,422228,567821,-1.65402997,55.00450134,2071109.16558218,6651.90104353329
7345,E05011450,Kingston Park South & Newbiggin Hall, ,420388,567937,-1.68279004,55.00559998,2740330.66012914,8037.27788225211
7346,E05011451,Lemington, ,418323,565268,-1.71524,54.9817009,5008409.73196146,11481.8601478127
7347,E05011452,Manor Park, ,427573,567155,-1.57053006,54.99819946,2411531.72044249,8326.83287024775
7348,E05011453,Monument, ,424559,564358,-1.61787999,54.97320175,3028941.49675197,9373.01446486177
7349,E05011454,North Jesmond, ,425376,566605,-1.60492003,54.99340057,1333491.11576095,5566.32371630807
7350,E05011455,Ouseburn, ,425891,564792,-1.59704006,54.97710037,1126446.46481258,6551.5045492873
7351,E05011456,Parklands, ,424667,570186,-1.61570001,55.02560043,8521717.13628038,13141.6926157153
7352,E05011457,South Jesmond, ,425634,565636,-1.60098004,54.98469925,1495678.22487338,6173.38373302793
7353,E05011458,Walker, ,428852,563892,-1.55086994,54.96879959,3185560.61890857,7183.63640082555
7354,E05011459,Walkergate, ,428531,565550,-1.55571997,54.9836998,3424826.55661076,10033.0144738107
7355,E05011460,West Fenham, ,420709,565731,-1.67793,54.9856987,2301317.36534142,7941.310896992
7356,E05011461,Wingrove, ,423255,565651,-1.63814998,54.98490143,4014550.84487638,11267.2927500255
7357,E05011462,Addiscombe East, ,534431,166293,-0.06972,51.37979889,1540521.16358609,6000.2599601248
7358,E05011463,Addiscombe West, ,533577,166366,-0.08196,51.38059998,1343044.58578568,6076.42963086753
7359,E05011464,Bensham Manor, ,531864,168045,-0.10593,51.39609909,1441461.71349393,5760.68301639445
7360,E05011465,Broad Green, ,531359,166569,-0.11374,51.38299942,1952134.63678897,7980.42472438102
7361,E05011466,Coulsdon Town, ,529353,158652,-0.14542,51.31230164,4521366.68949609,12114.6784364871
